source_hgnc;interaction_directed_signed;target_hgnc;database;ref;no_ref;source_uniprot;target_uniprot
MAP3K11;ACTIVATE;MAP2K3;"SignaLink3;Laudanna_effects;PhosphoSite;Laudanna_sigflow;Signor;MIMP;Wang";"9003778;9003778";2;Q16584;P46734
MAP2K3;ACTIVATE;MAPK12;"Laudanna_effects;HPRD;Laudanna_sigflow;ACSN;dbPTM;PhosphoPoint;phosphoELM;SignaLink3;Signor;MIMP;Wang;PhosphoNetworks";"11242034;11062067;11062067;18083107;19413330;11062067";6;P46734;P53778
TAOK2;ACTIVATE;MAP2K3;"Laudanna_effects;HPRD;Laudanna_sigflow;ACSN;PhosphoPoint;IntAct;SignaLink3;Signor;BioGRID;Wang;InnateDB";"10497253;11279118;11279118;25241761;11279118;11279118;25241761;10497253;9786855;11279118";10;Q9UL54;P46734
TAOK1;ACTIVATE;MAP2K3;"SignaLink3;Laudanna_effects;Signor;Laudanna_sigflow;Wang;HPRD;ACSN;PhosphoPoint";"9786855;9786855;10497253;9786855";4;Q7L7X3;P46734
RB1;ACTIVATE;CCNA2;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;LMPID";"9891042;12501191;9190208;9885575;10486249;8647086;9053846;8626527;12676926";9;P06400;P20248
CCNA2;INHIBIT;RB1;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;LMPID";"9891042;12501191;9190208;9885575;10486249;8647086;9053846;8626527;12676926";9;P20248;P06400
CCNA2;ACTIVATE;SKP2;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;InnateDB";"15355997;10559858;7553852;26186194;18604603;20160477;26496610;15355997;9858587";9;P20248;Q13309
SKP2;INHIBIT;CCNA2;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;InnateDB";"15355997;10559858;7553852;26186194;18604603;20160477;26496610;15355997;9858587";9;Q13309;P20248
CCNA2;INHIBIT;CDK4;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"24302728;9716181";2;P20248;P11802
CCNA2;ACTIVATE;CDK2;"Laudanna_effects;Laudanna_sigflow;PhosphoPoint;IntAct;DIP;CancerCellMap;BioGRID;HPRD";"16290148;16627785;9380407;8475101;18635963;7553852;15647383;23455922;10068472;8662825;23602568;9716181;11940657;7630397;15455144;15189033;17361108;21241890;25852190;26186194;11983168;8547220;12853968;12044161;8397207;26496610;20733051;9660939;12244298;14656438;11377199;25669885;15828833;8463339;18471975;21447625;19773423;12941338;22898779;15557281;9724724;24302728;19483727;8226784;19631451;10924145;10930425;10559988;24358021;7630397;12244298;12941338;15189033;15239650;8756328;11141566;10924145;11907280";58;P20248;P24941
CDK2;ACTIVATE;CCNA2;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;HPRD;ACSN;PhosphoPoint;IntAct;DIP;Signor;CancerCellMap;BioGRID;MIMP;PhosphoSite_dir;Wang";"10652300;10652300;16290148;16627785;9380407;8475101;18635963;7553852;15647383;23455922;10068472;8662825;23602568;9716181;11940657;7630397;15455144;15189033;17361108;21241890;25852190;26186194;11983168;8547220;12853968;12044161;8397207;26496610;20733051;9660939;12244298;14656438;11377199;25669885;15828833;8463339;18471975;21447625;19773423;12941338;22898779;15557281;9724724;24302728;19483727;8226784;19631451;10924145;10930425;10559988;24358021;7630397;12244298;12941338;15189033;15239650;8756328;11141566;10924145;11907280";60;P24941;P20248
E2F3;ACTIVATE;CCNA2;"ACSN;HPRD";11980909;1;O00716;P20248
CCNA2;ACTIVATE;E2F3;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";11980909;1;P20248;O00716
CDC20;INHIBIT;CCNA2;"ACSN;SPIKE;BioGRID;HPRD";"18471975;26811472;19098431;25669885;26186194;19826003;19483727;25750436;18471975;26496610;20733051;25306918;10679238";13;Q12834;P20248
CDKN1A;INHIBIT;CCNA2;"Laudanna_effects;HPRD;Laudanna_sigflow;ACSN;IntAct;DIP;BioGRID;Wang";"9660939;23443559;9380407;21308745;8756624;26186194;17679094;26496610;8662825;12947099;8242751;15890360;9632134;8662825";14;P38936;P20248
CCNA2;INHIBIT;TP73;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";12676926;1;P20248;O15350
CCNA2;ACTIVATE;CDK1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;DIP";"21308745;25852190;26186194;8463339;17679094;24302728;26496610;19483727;12853968;8226784;23602568;9053846;1833185;10924145";14;P20248;P06493
CDKN1C;INHIBIT;CCNA2;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"12947099;26186194;26496610";3;P49918;P20248
CCNA2;ACTIVATE;CDT1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang";"26496610;18184650;26186194;14993212;14993212";5;P20248;Q9H211
TYROBP;ACTIVATE;ZAP70;"Wang;HPRD;KEGG;PhosphoPoint";9490415;1;O43914;P43403
TYROBP;ACTIVATE;SYK;"Li2012;Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;KEGG;IntAct";"10940905;9490415";2;O43914;P43405
TYROBP;ACTIVATE;KLRD1;"Wang;Laudanna_effects;Laudanna_sigflow;InnateDB";15845448;1;O43914;Q13241
BRCC3;INHIBIT;HIST1H2BJ;SPIKE;19202061;1;P46736;P06899
BRCC3;INHIBIT;HIST1H2AG;Signor;20656690;1;P46736;P0C0S8
CDK11A;ACTIVATE;CDK11B;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"21078675;21078675";2;Q9UQ88;P21127
ZNF350;ACTIVATE;TRIM28;"SPIKE;BioGRID;IntAct";"14519192;23991171;22975076;17079232;15596820;22975076";6;Q9GZX5;Q13263
TRIM28;ACTIVATE;NR3C1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;PhosphoPoint";"22863883;9742105;9742105";3;Q13263;P04150
HDAC3;ACTIVATE;TRIM28;SPIKE;18037959;1;O15379;Q13263
HDAC10;INHIBIT;TRIM28;"SPIKE;BioGRID";"20032463;20032463";2;Q969S8;Q13263
SMARCAD1;ACTIVATE;TRIM28;"SPIKE;Signor;BioGRID";"18675275;21549307;20508149;21549307";4;Q9H4L7;Q13263
SENP1;INHIBIT;TRIM28;SPIKE;17942393;1;Q9P0U3;Q13263
TRIM28;ACTIVATE;SETDB1;"PhosphoPoint;BioGRID;HPRD;SPIKE";"11959841;11959841;18082607;11959841";4;Q13263;Q15047
TRIM28;ACTIVATE;CHD3;"PhosphoPoint;BioGRID;HPRD;SPIKE;IntAct";"11230151;24018422;16169070;18082607;21642969;16169070;16169070";7;Q13263;Q12873
MAPK7;ACTIVATE;TRIM28;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q13164;Q13263
PPP1CA;ACTIVATE;TRIM28;"SPIKE;BioGRID";"20424263;20424263";2;P62136;Q13263
TRIM28;ACTIVATE;MDM2;"Laudanna_effects;Signor;Laudanna_sigflow;BioGRID;Wang;SPIKE";"16107876;16107876;16107876;17056014;20858735";5;Q13263;Q00987
TRIM28;INHIBIT;HDAC1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"23060449;22863883;21669397";3;Q13263;Q13547
HDAC1;ACTIVATE;TRIM28;"SPIKE;BioGRID";"18381204;23060449;22863883;21669397";4;Q13547;Q13263
TRIM28;INHIBIT;PMAIP1;SPIKE;17942393;1;Q13263;Q13794
TRIM28;INHIBIT;STAT3;"SignaLink3;BioGRID;SPIKE;InnateDB";"18381204;18037959;18037959;18037959;18037959";5;Q13263;P40763
TRIM28;INHIBIT;BAX;SPIKE;17942393;1;Q13263;Q07812
TRIM28;INHIBIT;MYC;"Wang;Laudanna_effects;Laudanna_sigflow;IntAct";17353931;1;Q13263;P01106
MAPK3;ACTIVATE;TRIM28;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P27361;Q13263
UBE2I;ACTIVATE;TRIM28;"SPIKE;BioGRID";"18082607;26055329;24018422;18082607;21940674";5;P63279;Q13263
CLK1;ACTIVATE;TRIM28;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P49759;Q13263
IRAK3;ACTIVATE;TRIM28;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q9Y616;Q13263
SYK;ACTIVATE;TRIM28;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P43405;Q13263
MKNK2;ACTIVATE;TRIM28;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q9HBH9;Q13263
CLK2;ACTIVATE;TRIM28;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P49760;Q13263
STK16;ACTIVATE;TRIM28;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;O75716;Q13263
TNFRSF10C;INHIBIT;TNFSF10;"HPRD;SPIKE;IntAct;Signor";"9325248;9314565;9082980;20103630;20103630;9314565;9613612;9325248";8;O14798;P50591
ERCC8;ACTIVATE;ERCC6;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;DIP";"16916636;22032989;20541997;22902626;26826127;7664335;7664335;7664335";8;Q13216;Q03468
ERCC8;ACTIVATE;TCEA2;SPIKE;16916636;1;Q13216;Q15560
ERCC8;ACTIVATE;HMGN1;SPIKE;16916636;1;Q13216;P05114
STK38;ACTIVATE;MTA1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q15208;Q13330
STK38;ACTIVATE;MDM2;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q15208;Q00987
STK38;ACTIVATE;PPP1R13L;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q15208;Q8WUF5
STK38;ACTIVATE;NFATC4;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q15208;Q14934
STK24;ACTIVATE;STK38;"dbPTM;Signor";"16314523;12493777";2;Q9Y6E0;Q15208
STK38;ACTIVATE;CDCA5;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q15208;Q96FF9
STK38;ACTIVATE;HLCS;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q15208;P50747
CARD18;INHIBIT;PYCARD;"Wang;Laudanna_effects;Laudanna_sigflow;Macrophage";"11051551;11432859;11536016;15383541";4;P57730;Q9ULZ3
CARD18;INHIBIT;CARD8;"Macrophage;DeathDomain;HPRD;SPIKE";"11821383;11051551;11432859;11536016;15383541;11821383;11821383";7;P57730;Q9Y2G2
CARD18;INHIBIT;NLRC4;Macrophage;"11051551;11432859;11536016;15383541";4;P57730;Q9NPP4
CARD18;INHIBIT;NLRP2;Macrophage;"11051551;11432859;11536016;15383541";4;P57730;Q9NX02
BNIP3L;INHIBIT;BCL2;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;IntAct";"10467396;9973195;9973195;10467396;9973195";5;O60238;P10415
BNIP3L;ACTIVATE;GABARAPL1;"ELM;SPIKE";"20010802;19363302;20010802";3;O60238;Q9H0R8
SP1;ACTIVATE;BNIP3L;SPIKE;16291751;1;P08047;O60238
STEAP3;ACTIVATE;BNIP3L;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang";"12606722;12606722";2;Q658P3;O60238
BNIP3L;INHIBIT;BCL2L1;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";"10467396;9973195";2;O60238;Q07817
ITGB4;ACTIVATE;PIK3CA;"Laudanna_effects;Signor;Laudanna_sigflow;CancerCellMap;Wang";"9428518;12867433;11733063;8143784;7721947";5;P16144;P42336
ITGB4;ACTIVATE;PTK2;"Laudanna_effects;HPRD;Laudanna_sigflow;CancerCellMap;Wang;PhosphoPoint";"12110680;7721947;12110680";3;P16144;Q05397
ITGB4;ACTIVATE;PIK3CB;"Laudanna_effects;Signor;Laudanna_sigflow;CancerCellMap;Wang";"9428518;12867433;11733063;8143784;7721947";5;P16144;P42338
ITGB4;ACTIVATE;PIK3CG;"CancerCellMap;Signor";"9428518;12867433;11733063;8143784;7721947";5;P16144;P48736
ITGB4;ACTIVATE;PIK3CD;"Wang;Laudanna_effects;Laudanna_sigflow;Signor";9428518;1;P16144;O00329
MMP7;ACTIVATE;ITGB4;"Wang;CancerCellMap;Laudanna_effects;Laudanna_sigflow";9344615;1;P09237;P16144
IFIT1;INHIBIT;EIF3E;"HPRD;KEGG;InnateDB";"15561726;10644362;11118224";3;P09914;P60228
SET;ACTIVATE;NR3C1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";18096310;1;Q01105;P04150
SET;INHIBIT;PPP2CA;"HPRD;Signor";"21806989;9353299";2;Q01105;P67775
SET;INHIBIT;NME1;"HPRD;SPIKE;Signor";"19254476;12628186;12628186";3;Q01105;P15531
CSNK2B;INHIBIT;SET;Signor;23374587;1;P67870;Q01105
HNRNPA2B1;INHIBIT;SET;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"16170352;17309103";2;P22626;Q01105
CSNK2A2;INHIBIT;SET;Signor;23374587;1;P19784;Q01105
SET;INHIBIT;PPP2CB;Signor;21806989;1;Q01105;P62714
SETBP1;ACTIVATE;SET;"HPRD;Signor;BioGRID";"22566606;11231286;11231286";3;Q9Y6X0;Q01105
PTPN6;INHIBIT;CD79A;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";7539038;1;P29350;P11912
PAX5;ACTIVATE;CD79A;SPIKE;15676205;1;Q02548;P11912
CD79A;ACTIVATE;INPP5D;"Wang;Li2012;Laudanna_effects;Laudanna_sigflow";NA;0;P11912;Q92835
CAPN3;ACTIVATE;GSK3B;Signor;25969760;1;P20807;P49841
CAPN3;ACTIVATE;CDK5R1;Signor;25969760;1;P20807;Q15078
CAPN3;INHIBIT;MAPT;Signor;25969760;1;P20807;P10636
MYC;ACTIVATE;CAPN3;SPIKE;16915296;1;P01106;P20807
CAPN3;ACTIVATE;FLNC;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";14506720;1;P20807;Q14315
CAST;INHIBIT;CAPN3;Signor;25969760;1;P20810;P20807
LAT;ACTIVATE;PIK3CA;"Wang;Laudanna_effects;Laudanna_sigflow;Signor";11368773;1;O43561;P42336
SP1;ACTIVATE;LAT;SPIKE;18343609;1;P08047;O43561
LAT;ACTIVATE;PIK3R1;"Laudanna_effects;Signor;Laudanna_sigflow;BioGRID;Wang;IntAct";"11368773;11368773;10811803";3;O43561;P27986
LAT;ACTIVATE;GRB2;"Li2012;Laudanna_effects;HPRD;Laudanna_sigflow;KEGG;IntAct;DIP;Signor;BioGRID;Wang";"10811803;23150273;11368773;9489702;16906159;12186560;8063801;16906159;10811803;16906159;9489702;16938345;9489702;16906159";14;O43561;P62993
MAPK3;INHIBIT;LAT;"PhosphoSite;Signor;MIMP";15192708;1;P27361;O43561
LAT;ACTIVATE;VAV1;"Li2012;Laudanna_effects;Signor;Laudanna_sigflow;HPRD;BioGRID;Wang";"11368773;11368773;12186560;11368773";4;O43561;P15498
ITK;ACTIVATE;LAT;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;PhosphoPoint";"10506192;12186560;10506192;12186560";4;Q08881;O43561
ZAP70;ACTIVATE;LAT;"HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;PhosphoSite_noref;PhosphoPoint;KEGG;IntAct;Signor;BioGRID;MIMP;Wang";"11368773;23460737;15029250;11368773;12496416;23901140;24642916;11395491;11368773;23514740;11368773;16906159;12186560;16906159;11368773";15;P43403;O43561
SYK;ACTIVATE;LAT;"Li2012;Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;KEGG";9891970;1;P43405;O43561
FCGR2A;INHIBIT;LAT;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";10781611;1;P12318;O43561
PTPRJ;INHIBIT;LAT;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD;Wang;DEPOD;IntAct";"11259588;11259588;11259588;11259588";4;Q12913;O43561
CD244;ACTIVATE;LAT;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;KEGG";12077228;1;Q9BZW8;O43561
CD8A;ACTIVATE;LAT;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";10562325;1;P01732;O43561
DUSP1;INHIBIT;MAPK10;"Wang;SignaLink3;ACSN;InnateDB";"11359773;11359773";2;P28562;P53779
MAPK10;ACTIVATE;NR3C1;"Wang;PhosphoPoint;MIMP";NA;0;P53779;P04150
MAPK10;ACTIVATE;DAXX;"Wang;PhosphoNetworks";NA;0;P53779;Q9UER7
MAPK10;INHIBIT;DIABLO;"SignaLink3;Signor;InnateDB";"17686459;17686459;17686459";3;P53779;Q9NR28
MAPK10;INHIBIT;CDC25C;Signor;20220133;1;P53779;P30307
MAPK10;ACTIVATE;MTA1;"Wang;PhosphoNetworks";NA;0;P53779;Q13330
MAPK10;ACTIVATE;JUND;"Wang;DIP";22327296;1;P53779;P17535
MAPK10;ACTIVATE;FOS;"Wang;MIMP";NA;0;P53779;P01100
MAPK10;ACTIVATE;MEF2A;"Wang;PhosphoNetworks";NA;0;P53779;Q02078
MAPK10;ACTIVATE;BCL2L11;"HPRD;HPRD-phos;ACSN;PhosphoPoint;phosphoELM;Signor;MIMP;Wang";"18498746;12591950;12818176;18691976;12818176";5;P53779;O43521
DUSP22;INHIBIT;MAPK10;SPIKE;18786561;1;Q9NRW4;P53779
MAP2K4;ACTIVATE;MAPK10;"PhosphoSite;Laudanna_sigflow;PhosphoSite_noref;dbPTM;PhosphoPoint;phosphoELM;SignaLink3;BioGRID;PhosphoSite_dir;PhosphoNetworks;InnateDB;Laudanna_effects;Wang;HPRD-phos;ACSN;Signor;MIMP;HPRD";"1124203;18408005;10715136;11242034;8974401;11062067;10715136;15911620;25201974;10715136;15911620;18083107;10715136;19651622;10715136;15299005;12788955;18408005;10715136;12788955;10715136";21;P45985;P53779
MAPK10;ACTIVATE;HNRNPK;"Signor;HPRD-phos;MIMP;HPRD;PhosphoPoint;phosphoELM;PhosphoNetworks";"11259409;11259409;17287340;17924679;18767875;19664994;19415658;19413330;20068231;16964243;20166139;18669648;18452278;20230923;19664995;18212344;17322306;18691976;19651622;15302935;11259409;11231586";22;P53779;P61978
MAPK10;ACTIVATE;CBL;"Wang;PhosphoNetworks";NA;0;P53779;P22681
MAPK10;ACTIVATE;MCL1;"Wang;SignaLink3;InnateDB";"17670986;17670986";2;P53779;Q07820
IL1R1;ACTIVATE;MAPK10;Signor;9625767;1;P14778;P53779
MAP2K7;ACTIVATE;MAPK10;"PhosphoSite;Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;ACSN;PhosphoSite_noref;dbPTM;phosphoELM;SignaLink3;Signor;MIMP;Wang;PhosphoNetworks";"11242024;11062067;9890973;15911620;15911620;10715136";6;O14733;P53779
MAPK10;ACTIVATE;MAP2K7;"Wang;PhosphoNetworks";NA;0;P53779;O14733
MAD2L2;ACTIVATE;MAPK10;SPIKE;17296730;1;Q9UI95;P53779
MAPK10;ACTIVATE;ATF2;"SignaLink3;Laudanna_effects;Wang;Laudanna_sigflow;BioGRID;ACSN;InnateDB;PhosphoNetworks";"8654373;8654373;11865055;8654373";4;P53779;P15336
MAP2K6;ACTIVATE;MAPK10;Signor;8974401;1;P52564;P53779
MAPK10;ACTIVATE;ELK1;"Wang;SignaLink3;ACSN;InnateDB";"8654373;8654373";2;P53779;P19419
DUSP10;INHIBIT;MAPK10;"SignaLink3;Laudanna_effects;Wang;Laudanna_sigflow;HPRD;ACSN;PhosphoPoint;InnateDB";"11359773;11359773;11359773";3;Q9Y6W6;P53779
MAPK10;ACTIVATE;ETS1;"Wang;PhosphoNetworks;MIMP";NA;0;P53779;P14921
MAPK10;ACTIVATE;ZYX;"Wang;PhosphoNetworks";NA;0;P53779;Q15942
MAPK10;ACTIVATE;MAPK8IP3;"Signor;BioGRID;MIMP;HPRD;PhosphoPoint";"15767678;10523642;10629060;12189133;10523642;10629060;12189133";7;P53779;Q9UPT6
MAPK8IP3;ACTIVATE;MAPK10;"SignaLink3;Signor;HPRD;BioGRID;Wang;PhosphoPoint";"10523642;15767678;12189133;15767678;10523642;10629060;12189133;10523642;10629060;12189133";10;Q9UPT6;P53779
MAPK8IP2;ACTIVATE;MAPK10;"Wang;SignaLink3";15767678;1;Q13387;P53779
DUSP16;INHIBIT;MAPK10;"ACSN;HPRD;PhosphoPoint;Wang;DEPOD";"15888437;11359773";2;Q9BY84;P53779
MAPK10;INHIBIT;ATN1;"PhosphoSite;Signor;MIMP;PhosphoPoint;phosphoELM;PhosphoNetworks";"12812981;12812981";2;P53779;P54259
MAPK10;ACTIVATE;ZHX1;"Wang;PhosphoNetworks";NA;0;P53779;Q9UKY1
MAPK10;ACTIVATE;HLCS;"Wang;PhosphoNetworks";NA;0;P53779;P50747
LRP6;INHIBIT;GSK3B;"PhosphoPoint;BioGRID;HPRD;SPIKE;IntAct";"19107203;16890161;19107203;16365045;16365045";5;O75581;P49841
GSK3B;ACTIVATE;LRP6;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;HPRD;ACSN;PhosphoPoint;IntAct;SignaLink3;Signor;BioGRID;MIMP;Wang";"16365045;16341;16341017;16890161;19107203;16365045;16365045";7;P49841;O75581
WNT1;ACTIVATE;LRP6;"SignaLink3;Laudanna_effects;Signor;Laudanna_sigflow;Wang;HPRD;CancerCellMap;ACSN;BioGRID";"21078818;15578921;21078818;16126904;18505367;11448771;11029007;11448771;11029007";9;P04628;O75581
WNT2;ACTIVATE;LRP6;"ACSN;Signor";15578921;1;P09544;O75581
WNT4;ACTIVATE;LRP6;"ACSN;Signor";15578921;1;P56705;O75581
CSNK1E;ACTIVATE;LRP6;"SignaLink3;PhosphoSite;Signor;PhosphoSite_dir;MIMP;ACSN;PhosphoSite_noref";"20229235;16513652;16513652";3;P49674;O75581
DVL1;ACTIVATE;LRP6;"SignaLink3;Laudanna_effects;Signor;Laudanna_sigflow;Wang;ACSN";"17569865;17569865";2;O14640;O75581
LRP6;ACTIVATE;DVL1;"Laudanna_effects;Wang;Laudanna_sigflow;ACSN;KEGG";NA;0;O75581;O14640
WNT5A;ACTIVATE;LRP6;"ACSN;SignaLink3;Signor";"15578921;15578921";2;P41221;O75581
CSNK1D;ACTIVATE;LRP6;SignaLink3;20229235;1;P48730;O75581
MAPK3;ACTIVATE;LRP6;"PhosphoSite;Signor;PhosphoSite_dir;ACSN;PhosphoSite_noref";"20974802;14731402;25301071;21304492;16890161;26140605;24794231;25500543;18772438;25735981;21887268;16341017";12;P27361;O75581
WNT7A;ACTIVATE;LRP6;"ACSN;SignaLink3;Signor";"15578921;15578921";2;O00755;O75581
FZD8;ACTIVATE;LRP6;"ACSN;Signor;BioGRID;HPRD";"21078818;15908424;11448771;11448771;11029007";5;Q9H461;O75581
DVL2;ACTIVATE;LRP6;"Laudanna_effects;Signor;Laudanna_sigflow;Wang;ACSN";10196136;1;O14641;O75581
WNT10B;ACTIVATE;LRP6;"ACSN;Signor";15578921;1;O00744;O75581
GRK5;ACTIVATE;LRP6;"Wang;Laudanna_effects;Laudanna_sigflow;Signor";2787365;1;P34947;O75581
WNT3A;ACTIVATE;LRP6;"SignaLink3;Laudanna_effects;Signor;Laudanna_sigflow;Wang;HPRD;ACSN;IntAct;DIP";"15578921;16890161;15578921;21078818;21944579;22726442;12897152;14739301";8;P56704;O75581
WNT16;ACTIVATE;LRP6;"ACSN;Signor;KEGG";15578921;1;Q9UBV4;O75581
WNT11;ACTIVATE;LRP6;"ACSN;SignaLink3;Signor";"15578921;15578921";2;O96014;O75581
BAMBI;ACTIVATE;LRP6;"KEGG;IntAct";18838381;1;Q13145;O75581
PTH1R;ACTIVATE;LRP6;Signor;23151663;1;Q03431;O75581
CAPRIN2;ACTIVATE;LRP6;"Signor;IntAct";"19619488;18762581";2;Q6IMN6;O75581
CDK14;ACTIVATE;LRP6;"ACSN;Signor;dbPTM";"20059949;17698587;20059949;19801552;16341017";5;O94921;O75581
CSNK1A1L;ACTIVATE;LRP6;Signor;"21606194;19293931";2;Q8N752;O75581
WNT10A;ACTIVATE;LRP6;"ACSN;Signor";15578921;1;Q9GZT5;O75581
WNT9A;ACTIVATE;LRP6;"ACSN;Signor";15578921;1;O14904;O75581
AMER1;ACTIVATE;LRP6;"ACSN;Signor";21304492;1;Q5JTC6;O75581
WNT3;ACTIVATE;LRP6;"Laudanna_effects;Signor;Laudanna_sigflow;Wang;ACSN";15578921;1;P56703;O75581
WNT5B;ACTIVATE;LRP6;"ACSN;Signor";15578921;1;Q9H1J7;O75581
ZNRF3;INHIBIT;LRP6;Signor;"23151663;22575959";2;Q9ULT6;O75581
WNT8B;ACTIVATE;LRP6;"ACSN;Signor";15578921;1;Q93098;O75581
CTGF;ACTIVATE;LRP6;"Wang;Laudanna_effects;Laudanna_sigflow;Signor";18528331;1;P29279;O75581
WNT9B;ACTIVATE;LRP6;"ACSN;Signor";20093360;1;O14905;O75581
AR;ACTIVATE;ODC1;SPIKE;9570735;1;P10275;P11926
HNRNPU;INHIBIT;GTF2H1;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";10490622;1;Q00839;P32780
MARK1;INHIBIT;MAP4;"Signor;PhosphoPoint;HPRD-phos;MIMP;HPRD;SPIKE";"10542369;8631898;18767875;19415658;20058876;20068231;18669648;20166139;18452278;8631898;18212344;17693683;18707149;19651622;8631898";15;Q9P0L2;P27816
KAT2B;ACTIVATE;HNF1A;"HPRD;SPIKE;BioGRID";"10777539;10777539;10777539";3;Q92831;P20823
ATM;ACTIVATE;HNF1A;Signor;24821553;1;Q13315;P20823
HNF1A;ACTIVATE;ESR1;SignaLink3;11522780;1;P20823;P03372
CREBBP;ACTIVATE;HNF1A;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;SPIKE";"10777539;10777539;15598887;10777539";4;Q92793;P20823
DYRK1B;ACTIVATE;HNF1A;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoPoint;phosphoELM;IntAct;PhosphoNetworks";"11980910;11980910;24821553;11980910;11980910;14500717";6;Q9Y463;P20823
JUNB;INHIBIT;BCL2;SPIKE;11163237;1;P17275;P10415
FKBP8;ACTIVATE;BCL2;"HPRD;BioGRID;ACSN;SPIKE;IntAct;InnateDB";"12510191;17942410;12510191;15990872;17379601;15733859;12510191;15733859;17942410;15733859;12510191";11;Q14318;P10415
BAG1;ACTIVATE;BCL2;"Signor;Laudanna_sigflow;HPRD;SPIKE;DIP";"8947043;7834747;7834747;9305631";4;Q99933;P10415
BCL2;INHIBIT;BECN1;"Laudanna_effects;HPRD;Laudanna_sigflow;ARN;ACSN;SPIKE;IntAct;Signor;MatrixDB;BioGRID;Wang;InnateDB";"16179260;16799551;9765397;17438366;19050071;23541952;20622903;24034250;23954414;16179260;19273585;9765397;19347031;18570871;17446862;17643073;23564079;19959994;20622903;21543763;16179260;25984893;21358617;25891078;20711182;20010695;23168911;22622204;18772134;9765397;18641390;23504944;23316280;19050071;21971985;23479509;20889974;19347031;18281291;17438366;19050071;20622903;16179260;19273585;19347031;24472739;17446862;23541952;19959994;24034250;23954414;21358617;9765397";53;P10415;Q14457
HRK;INHIBIT;BCL2;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD;BioGRID;Wang;SPIKE";"9130713;9130713;9130713;15694340;10075695;9130713";6;O00198;P10415
CISD2;ACTIVATE;BCL2;SPIKE;20010695;1;Q8N5K1;P10415
DDIT3;INHIBIT;BCL2;"SPIKE;KEGG";17652152;1;P35638;P10415
NOXA1;INHIBIT;BCL2;"SignaLink3;Signor";"19879762;19879762";2;Q86UR1;P10415
