source_hgnc;interaction_directed_signed;target_hgnc;database;ref;no_ref;source_uniprot;target_uniprot
ESR1;ACTIVATE;CTSD;"SPIKE;Laudanna_effects;Laudanna_sigflow;Wang";6771293;1;P03372;P07339
ESR1;ACTIVATE;HSPB1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"20348541;23576398";2;P03372;P04792
CREBBP;ACTIVATE;ESR1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;LMPID";"9192902;17400812;9192902;11113179;16417649;18765668;11782371;14766010;8616895";9;Q92793;P03372
MAPK3;ACTIVATE;ESR1;"PhosphoSite;Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;HPRD;PhosphoSite_noref;PhosphoPoint;phosphoELM;Signor;MIMP;Wang;PhosphoNetworks";"18372406;17615152;7491495;12118371";4;P27361;P03372
MAT1A;INHIBIT;ESR1;SPIKE;11146623;1;Q00266;P03372
ESR1;ACTIVATE;RARA;"HPRD;SignaLink3;SPIKE";"15831516;9841885;9717844;17641689";4;P03372;P10276
RARA;ACTIVATE;ESR1;"HPRD;SignaLink3";"9841885;9717844;17641689";3;P10276;P03372
ESR1;ACTIVATE;ESR2;"SignaLink3;Laudanna_effects;Signor;Laudanna_sigflow;HPRD;BioGRID;Wang";"10022879;10022879;10706629;9473491;12630920;21182203;19746436;9473491";8;P03372;Q92731
ESR1;ACTIVATE;NR0B2;"HPRD;SignaLink3;BioGRID";"11861507;9773978;10648597;11861507;9773978;10648597;11861507;9773978";8;P03372;Q15466
AHR;ACTIVATE;ESR1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang";"10620335;12612060;10620335;12612060;17392787";5;P35869;P03372
KLF5;INHIBIT;ESR1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";19569049;1;Q13887;P03372
VAV3;ACTIVATE;ESR1;"Wang;Laudanna_effects;Laudanna_sigflow;IntAct";18518979;1;Q9UKW4;P03372
POU4F1;ACTIVATE;ESR1;"HPRD;Signor;BioGRID";"9448000;9448000;9448000";3;Q01851;P03372
KMT2D;ACTIVATE;ESR1;"HPRD;Signor;BioGRID;IntAct";"16603732;16603732;21502505;16603732;16603732";5;O14686;P03372
POU4F2;ACTIVATE;ESR1;"HPRD;Signor;BioGRID";"9448000;9448000;9448000";3;Q12837;P03372
SAFB;INHIBIT;ESR1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;MPPI";"10707955;15066997;21527249;10707955;10707955";5;Q15424;P03372
NR2C1;INHIBIT;ESR1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;IntAct";"12093804;12093804;12093804";3;P13056;P03372
MGMT;INHIBIT;ESR1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";11564893;1;P16455;P03372
TADA3;ACTIVATE;ESR1;"Wang;BioGRID";"12034840;18089809;20413580";3;O75528;P03372
ESR1;ACTIVATE;MTA3;"Wang;Laudanna_effects;Laudanna_sigflow;IntAct";18451880;1;P03372;Q9BTC8
NR0B1;INHIBIT;ESR1;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";11053406;1;P51843;P03372
MMS19;INHIBIT;ESR1;"Wang;Laudanna_effects;HPRD;Laudanna_sigflow";11279242;1;Q96T76;P03372
FASLG;ACTIVATE;TNFRSF1A;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"15659383;12753742";2;P48023;P19438
TNFRSF6B;INHIBIT;FASLG;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD;BioGRID;Wang";"10318773;11994433;9872321;10318773;11994433;9872321;10318773";7;O95407;P48023
FASLG;ACTIVATE;TNFRSF6B;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;KEGG";"11994433;9872321;10318773;11994433;9872321;10318773";6;P48023;O95407
CHUK;INHIBIT;RELB;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;Wang;PhosphoPoint;IntAct";14743216;1;O15111;Q01201
CREBBP;ACTIVATE;RELB;SPIKE;12789342;1;Q92793;Q01201
PBK;ACTIVATE;PRDX1;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"20647304;20647304";2;Q96KB5;Q06830
MAPK3;ACTIVATE;MAPT;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;PhosphoSite_dir;MIMP;Wang";"26161867;24757378;26555036;12226093;15364924;16115884;25378699;16645045;8506352;16464956;21327254;24075978;17906291;20466736;14761950;24312574;15822905;18725412;16923168;9716264;24033439;16095576;21731772;20159774;21367866";25;P27361;P10636
PKN1;INHIBIT;MAPT;"PhosphoSite;Signor;HPRD-phos;MIMP;HPRD;PhosphoPoint";"11104762;9546672;11104762;19413330;12435421;9199504;9771888;19562805;11181841;9565682;12226093;9832145;12387894;9546672;11104762;12435421;9199504;9832145;12387894";19;Q16512;P10636
DYRK1A;INHIBIT;MAPT;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;Signor;MIMP;Wang;CA1";"11311121;21215781";2;Q13627;P10636
MAPK12;ACTIVATE;MAPT;"Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoSite;PhosphoPoint;Signor;MIMP;Wang";"19413330;18510355;11181841;12226093;11104762;19415658;9735171;7566346;9199504;9771888;9353289;9565682;17078951;19651622;9832145;9546672;20068231;12435421;1330687;17287340;19562805;12387894;11104762;9735171;7566346;9199504;9771888;9353289;11181841;9565682;12226093;1330687;9832145;12387894";34;P53778;P10636
SYK;INHIBIT;MAPT;"Signor;PhosphoSite;BioGRID;MIMP;PhosphoSite_dir";"18070606;18070606;18070606";3;P43405;P10636
CSNK1G1;ACTIVATE;MAPT;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";6412713;1;Q9HCP0;P10636
TTBK1;INHIBIT;MAPT;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref;dbPTM";"16923168;16000144;19413330;19451179;16923168;16443603";6;Q5TCY1;P10636
APOE;ACTIVATE;MAPT;"Laudanna_effects;Wang;Laudanna_sigflow;HPRD-phos;BioGRID;HPRD";"9512010;7566652;8620924;9147408;7566652;9512010";6;P02649;P10636
PPP2R1A;INHIBIT;MAPT;Signor;15525651;1;P30153;P10636
LRRK2;INHIBIT;MAPT;"Signor;PhosphoSite;BioGRID;PhosphoSite_dir;PhosphoSite_noref;IntAct";"22303461;22303461;22303461";3;Q5S007;P10636
TELO2;ACTIVATE;MTOR;"SignaLink3;BioGRID;SPIKE;InnateDB";"18160036;18160036;20801936;18160036;18160036";5;Q9Y4R8;P42345
CD44;ACTIVATE;TIAM1;"HPRD;KEGG";10636882;1;P16070;Q13009
FANCI;ACTIVATE;FANCD2;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;IntAct";"18931676;24623813;24451376;17460694;22855611;19561358;17460694;17460694";8;Q9NVI1;Q9BXW9
UBE2T;ACTIVATE;FANCD2;"Laudanna_effects;Wang;Laudanna_sigflow;ACSN;SPIKE";17768402;1;Q9NPD8;Q9BXW9
NEK9;ACTIVATE;EIF4ENIF1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q8TD19;Q9NRA8
NEK9;ACTIVATE;ZYX;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q8TD19;Q15942
NEK9;ACTIVATE;NEK6;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;dbPTM;PhosphoPoint;phosphoELM;IntAct;Signor;BioGRID;MIMP;Wang;PhosphoNetworks";"12840024;12840024;21454704;12840024;19690332;20873783;12840024;19369195;12840024;12840024;26186194;20873783;17353931;12101123;17353931;12840024;12101123";17;Q8TD19;Q9HC98
